column,data type,categorical,min,max,values,probabilities,values count,missing
ID,int,False,1.0,32561.0,"[-31.560000000000002, 1629.0, 3257.0, 4885.0, 6513.0, 8141.0, 9769.0, 11397.0, 13025.0, 14653.0, 16281.0, 17909.0, 19537.0, 21165.0, 22793.0, 24421.0, 26049.0, 27677.0, 29305.0, 30933.0]","[0.050029176008107856, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902, 0.049998464420625902]",20.0,0.0
age,int,True,17.0,90.0,"[32, 48, 64, 80, 17, 33, 49, 65, 81, 18, 34, 50, 66, 82, 19, 35, 51, 67, 83, 20, 36, 52, 68, 84, 21, 37, 53, 69, 85, 22, 38, 54, 70, 86, 23, 39, 55, 71, 87, 24, 40, 56, 72, 88, 25, 41, 57, 73, 26, 42, 58, 74, 90, 27, 43, 59, 75, 28, 44, 60, 76, 29, 45, 61, 77, 30, 46, 62, 78, 31, 47, 63, 79]","[0.025429194435060348, 0.016676392002702621, 0.0063880101962470442, 0.00067565492460305268, 0.012131077055372991, 0.026872639046712325, 0.017720585977089157, 0.005466662571788336, 0.00061423174963913887, 0.016891373115076318, 0.027210466509013851, 0.018488375664138079, 0.0046067381222935416, 0.0003685390497834833, 0.021866650287153344, 0.02690335063419428, 0.018273394551764379, 0.004637449709775498, 0.00018426952489174165, 0.023125825373913576, 0.027579005558797335, 0.014680138816375419, 0.003685390497834833, 0.00030711587481956944, 0.022112342987008999, 0.026350542059519057, 0.014250176591628021, 0.0033168514480513499, 9.2134762445870825e-05, 0.02349436442369706, 0.025398482847578393, 0.012745308805012132, 0.002733331285894168, 3.071158748195694e-05, 0.026934062221676238, 0.025060655385276864, 0.012868155154939959, 0.0022112342987008998, 3.071158748195694e-05, 0.024507846810601641, 0.024385000460673812, 0.011240441018396241, 0.0020576763612911151, 9.2134762445870825e-05, 0.02582844507232579, 0.024814962685421209, 0.010994748318540585, 0.0019655415988452441, 0.024108596173336199, 0.023955038235926415, 0.011240441018396241, 0.001566290961579804, 0.0013205982617241485, 0.025644175547434048, 0.023647922361106844, 0.010902613556094714, 0.0013820214366880624, 0.02662694634685667, 0.022235189336936825, 0.0095820152943705654, 0.0014127330241700193, 0.024968520622830993, 0.022542305211756396, 0.0092134762445870832, 0.00089063603697675129, 0.026442676821964928, 0.022634439974202267, 0.0079235895703448911, 0.00070636651208500964, 0.027271889683977764, 0.021743803937225515, 0.0070636651208500966, 0.00067565492460305268]",73.0,0.0
workclass,string,True,2.0,17.0,"[' Local-gov', ' Self-emp-not-inc', ' Never-worked', ' Private', ' Federal-gov', ' Without-pay', ' ?', ' State-gov', ' Self-emp-inc']","[0.064279352599735884, 0.078038143791652595, 0.00021498111237369858, 0.69703018949049478, 0.029483123982678664, 0.00042996222474739717, 0.056386474616872947, 0.039863640551580114, 0.034274131629863945]",9.0,0.0
fnlwgt,int,False,12285.0,1484705.0,"[10812.58, 85906.0, 159527.0, 233148.0, 306769.0, 380390.0, 454011.0, 527632.0, 601253.0, 674874.0, 748495.0, 822116.0, 895737.0, 969358.0, 1042979.0, 1116600.0, 1190221.0, 1263842.0, 1337463.0, 1411084.0]","[0.13768004668161296, 0.26516384631921625, 0.33613832499001872, 0.13457817634593533, 0.07708608457971193, 0.030343048432173458, 0.010472651331347317, 0.0041767758975461439, 0.0019655415988452441, 0.0011670403243143638, 0.00046067381222935413, 0.00015355793740978472, 0.00015355793740978472, 0.00015355793740978472, 6.1423174963913879e-05, 9.2134762445870825e-05, 3.071158748195694e-05, 3.071158748195694e-05, 3.071158748195694e-05, 6.1423174963913879e-05]",20.0,0.0
education,string,True,4.0,13.0,"[' Assoc-voc', ' 10th', ' 7th-8th', ' Preschool', ' HS-grad', ' Masters', ' Some-college', ' Bachelors', ' 5th-6th', ' Doctorate', ' 12th', ' Prof-school', ' Assoc-acdm', ' 9th', ' 1st-4th', ' 11th']","[0.042443413900064494, 0.028653911120665829, 0.019839685513344186, 0.001566290961579804, 0.32250238014802984, 0.052916065231411812, 0.22391818433094807, 0.16446055096587942, 0.010226958631491662, 0.012683885630048217, 0.013298117379687356, 0.017689874389607198, 0.032769263843248055, 0.015785755965725869, 0.0051595466969687667, 0.03608611529129941]",16.0,0.0
education-num,float,True,1.0,16.0,"[16, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.012683885630048217, 0.001566290961579804, 0.0051595466969687667, 0.010226958631491662, 0.019839685513344186, 0.015785755965725869, 0.028653911120665829, 0.03608611529129941, 0.013298117379687356, 0.32250238014802984, 0.22391818433094807, 0.042443413900064494, 0.032769263843248055, 0.16446055096587942, 0.052916065231411812, 0.017689874389607198]",16.0,0.0
marital-status,string,True,8.0,22.0,"[' Married-spouse-absent', ' Never-married', ' Separated', ' Married-civ-spouse', ' Married-AF-spouse', ' Divorced', ' Widowed']","[0.012837443567458001, 0.32809188906974601, 0.031479377169005868, 0.45993673412978719, 0.00070636651208500964, 0.13645158318233469, 0.030496606369583245]",7.0,0.0
occupation,string,True,2.0,18.0,"[' Transport-moving', ' Exec-managerial', ' Craft-repair', ' Farming-fishing', ' Prof-specialty', ' Priv-house-serv', ' Other-service', ' Protective-serv', ' Handlers-cleaners', ' ?', ' Tech-support', ' Machine-op-inspct', ' Sales', ' Armed-Forces', ' Adm-clerical']","[0.049046405208685237, 0.12487331470163693, 0.1258867970885415, 0.0305273179570652, 0.12714597217530174, 0.0045760265348115843, 0.10119468075304812, 0.019931820275790057, 0.04207487485028101, 0.056601455729246644, 0.028500353183256041, 0.0614845981388778, 0.11209729430914284, 0.00027640428733761248, 0.11578268480697768]",15.0,0.0
relationship,string,True,5.0,15.0,"[' Not-in-family', ' Other-relative', ' Own-child', ' Unmarried', ' Husband', ' Wife']","[0.25505973403765242, 0.030128067319799761, 0.1556463253585578, 0.10583213046282362, 0.40517797364945796, 0.048155769171708489]",6.0,0.0
race,string,True,6.0,19.0,"[' Amer-Indian-Eskimo', ' Black', ' Asian-Pac-Islander', ' Other', ' White']","[0.009551303706888609, 0.095942999293633494, 0.031909339393753261, 0.0083228402076103315, 0.8542735173981143]",5.0,0.0
